Machine ID,Slot number,Product code,Abnormal state,Key,Capacity,Existing quantity,Machine Price,User-defined price,Name of commodity,Image,Downloading status
2503060046,131,915,1,,199,6,1.7,1.7,Waldquelle Mineralwasser Still 0,5	,productdefult.png	,True,
2503060046,132,914,1,,199,6,1.7,1.7,Waldquelle Mineralwasser Spritzig 0,5	,productdefult.png	,True,
2503060046,133,1238,1,,199,6,3.2,3.2,Gatorade Cool Blue 0,5l Pet 	,productdefult.png	,True,
2503060046,134,1219,1,,199,6,3.2,3.2,Getorade Lemon 0,5l Pet 	,productdefult.png	,True,
2503060046,135,,1,,199,6,500,,,,,
2503060046,136,,1,,199,6,500,,,,,
2503060046,137,,1,,199,6,500,,,,,
2503060046,138,1214,1,,199,6,3.2,3.2,PowerAde Cherry 0,5 l Flasche 	,productdefult.png	,True,
2503060046,141,1117,1,,6,6,2.7,2.7,Arizona Iced Tea Peach 	,productdefult.png	,True,
2503060046,142,,1,,199,6,500,,,,,
2503060046,143,1260,1,,199,6,2.7,2.7,Rauch Eistee Zitrone Sugarfree 	,productdefult.png	,True,
2503060046,144,1049,1,,199,6,2.7,2.7,Rauch Eistee Zitrone 0,5l Pet 	,productdefult.png	,True,
2503060046,145,1043,1,,199,6,2.7,2.7,Rauch Eistee Pfirsich 0,5l Pet 	,productdefult.png	,True,
2503060046,146,1254,1,,199,6,2.7,2.7,Rauch Eistee Erdbeere Kiwi 0,5l Pet 	,productdefult.png	,True,
2503060046,147,975,1,,199,6,2.7,2.7,Rauch Eistee Mango PET 0,5 	,productdefult.png	,True,
2503060046,148,977,1,,199,6,2.7,2.7,Rauch Eistee Erdbeere Heidelbeeren PET 0,5	,productdefult.png	,True,
2503060046,151,,1,,199,6,500,,,,,
2503060046,152,,1,,199,6,500,,,,,
2503060046,153,968,1,,199,6,1.8,1.8,Vöslauer Ohne 0,5 Pet	,productdefult.png	,True,
2503060046,154,1041,1,,199,6,1.8,1.8,Vöslauer Wasser Prickelnd 0,5l Pet 	,productdefult.png	,True,
2503060046,155,877,1,,199,6,2.5,2.5,Vöslauer Bio Limonade Sizilianische Zitrone 0,5	,productdefult.png	,True,
2503060046,156,879,1,,199,6,2.5,2.5,Vöslauer Bio Limonade Orange 0,5 Pet	,productdefult.png	,True,
2503060046,157,1004,1,,199,6,2.8,2.8,Orangina 0,5 Pet	,productdefult.png	,True,
2503060046,158,1004,1,,199,6,2.8,2.8,Orangina 0,5 Pet	,productdefult.png	,True,
